Concentration,1,2,Vmax1,Km1,Vmax2,Km2,QH,Clint,ClH,BIOA,EXTR,Delta_BIOA,Delta_EXTR
4164.16,0.960949,0.0390512,,,,,,0.056893495,0.054671734,0.960948762,0.039051238,2.38265E-07,-3.8265E-08
4184.18,0.961124,0.0388761,,,,,,0.056628081,0.054426599,0.961123857,0.038876143,1.42605E-07,-4.26054E-08
4204.2,0.961297,0.0387026,,,,,,0.056365131,0.054183653,0.96129739,0.03870261,-3.90469E-07,-9.53124E-09
4224.22,0.961469,0.0385306,,,,,,0.056104612,0.053942866,0.961469381,0.038530619,-3.8102E-07,-1.898E-08
4244.24,0.96164,0.0383601,,,,,,0.05584649,0.05370421,0.96163985,0.03836015,1.50183E-07,-5.01831E-08
4264.26,0.961809,0.0381911,,,,,,0.055590732,0.053467657,0.961808817,0.038191183,1.82987E-07,-8.2987E-08
4284.28,0.961976,0.0380237,,,,,,0.055337307,0.053233178,0.961976301,0.038023699,-3.01484E-07,1.48431E-09
4304.3,0.962142,0.0378576,,,,,,0.055086181,0.053000746,0.962142324,0.037857676,-3.24132E-07,-7.58678E-08
4324.32,0.962307,0.0376931,,,,,,0.054837325,0.052770336,0.962306903,0.037693097,9.74052E-08,2.59476E-09
4344.34,0.96247,0.0375299,,,,,,0.054590706,0.05254192,0.962470057,0.037529943,-5.71956E-08,-4.28044E-08
4364.36,0.962632,0.0373682,,,,,,0.054346297,0.052315474,0.962631804,0.037368196,1.95671E-07,4.32879E-09
4384.38,0.962792,0.0372078,,,,,,0.054104065,0.05209097,0.962792164,0.037207836,-1.64397E-07,-3.56029E-08
4404.4,0.962951,0.0370488,,,,,,0.053863984,0.051868386,0.962951153,0.037048847,-1.53208E-07,-4.67923E-08
4424.42,0.963109,0.0368912,,,,,,0.053626024,0.051647695,0.963108789,0.036891211,2.10748E-07,-1.07479E-08
