Function,Concentration,Predicted
1,12912.9,0.0186646
1,12932.9,0.0186359
1,12953,0.0186074
1,12973,0.0185789
1,12993,0.0185505
1,13013,0.0185222
1,13033,0.018494
1,13053.1,0.0184658
1,13073.1,0.0184378
1,13093.1,0.0184098
1,13113.1,0.0183819
1,13133.1,0.0183541
1,13153.2,0.0183264
1,13173.2,0.0182988
1,13193.2,0.0182713
1,13213.2,0.0182438
1,13233.2,0.0182164
1,13253.3,0.0181891
1,13273.3,0.0181619
1,13293.3,0.0181348
1,13313.3,0.0181077
1,13333.3,0.0180808
1,13353.4,0.0180539
1,13373.4,0.0180271
1,13393.4,0.0180003
1,13413.4,0.0179737
1,13433.4,0.0179471
1,13453.5,0.0179206
1,13473.5,0.0178942
1,13493.5,0.0178678
1,13513.5,0.0178416
1,13533.5,0.0178154
1,13553.6,0.0177893
1,13573.6,0.0177633
1,13593.6,0.0177373
1,13613.6,0.0177114
1,13633.6,0.0176856
1,13653.7,0.0176599
1,13673.7,0.0176342
1,13693.7,0.0176086
1,13713.7,0.0175831
1,13733.7,0.0175577
1,13753.8,0.0175323
1,13773.8,0.0175071
1,13793.8,0.0174818
1,13813.8,0.0174567
1,13833.8,0.0174316
1,13853.9,0.0174066
1,13873.9,0.0173817
1,13893.9,0.0173569
1,13913.9,0.0173321
1,13933.9,0.0173074
1,13954,0.0172827
1,13974,0.0172582
1,13994,0.0172337
1,14014,0.0172092
1,14034,0.0171849
1,14054.1,0.0171606
1,14074.1,0.0171363
1,14094.1,0.0171122
1,14114.1,0.0170881
1,14134.1,0.0170641
1,14154.2,0.0170401
1,14174.2,0.0170162
1,14194.2,0.0169924
1,14214.2,0.0169687
1,14234.2,0.016945
1,14254.3,0.0169213
1,14274.3,0.0168978
1,14294.3,0.0168743
1,14314.3,0.0168509
1,14334.3,0.0168275
1,14354.4,0.0168042
1,14374.4,0.016781
1,14394.4,0.0167578
1,14414.4,0.0167347
1,14434.4,0.0167117
1,14454.5,0.0166887
1,14474.5,0.0166658
1,14494.5,0.0166429
1,14514.5,0.0166202
1,14534.5,0.0165974
1,14554.6,0.0165748
1,14574.6,0.0165522
1,14594.6,0.0165296
1,14614.6,0.0165071
1,14634.6,0.0164847
1,14654.7,0.0164624
1,14674.7,0.0164401
1,14694.7,0.0164178
1,14714.7,0.0163957
1,14734.7,0.0163735
1,14754.8,0.0163515
1,14774.8,0.0163295
1,14794.8,0.0163076
1,14814.8,0.0162857
1,14834.8,0.0162639
1,14854.9,0.0162421
1,14874.9,0.0162204
1,14894.9,0.0161987
1,14914.9,0.0161772
1,14934.9,0.0161556
1,14955,0.0161342
1,14975,0.0161127
1,14995,0.0160914
1,15015,0.0160701
1,15035,0.0160488
1,15055.1,0.0160276
1,15075.1,0.0160065
1,15095.1,0.0159854
1,15115.1,0.0159644
1,15135.1,0.0159434
1,15155.2,0.0159225
1,15175.2,0.0159017
1,15195.2,0.0158809
1,15215.2,0.0158601
1,15235.2,0.0158394
1,15255.3,0.0158188
1,15275.3,0.0157982
1,15295.3,0.0157776
1,15315.3,0.0157572
1,15335.3,0.0157367
1,15355.4,0.0157164
1,15375.4,0.015696
1,15395.4,0.0156758
1,15415.4,0.0156556
1,15435.4,0.0156354
1,15455.5,0.0156153
1,15475.5,0.0155952
1,15495.5,0.0155752
1,15515.5,0.0155552
1,15535.5,0.0155353
1,15555.6,0.0155155
1,15575.6,0.0154957
1,15595.6,0.0154759
1,15615.6,0.0154562
1,15635.6,0.0154366
1,15655.7,0.015417
1,15675.7,0.0153974
1,15695.7,0.0153779
1,15715.7,0.0153584
1,15735.7,0.015339
1,15755.8,0.0153197
1,15775.8,0.0153004
1,15795.8,0.0152811
1,15815.8,0.0152619
1,15835.8,0.0152427
1,15855.9,0.0152236
1,15875.9,0.0152045
1,15895.9,0.0151855
1,15915.9,0.0151665
1,15935.9,0.0151476
1,15956,0.0151287
1,15976,0.0151099
1,15996,0.0150911
1,16016,0.0150724
1,16036,0.0150537
1,16056.1,0.015035
1,16076.1,0.0150164
1,16096.1,0.0149979
1,16116.1,0.0149794
1,16136.1,0.0149609
1,16156.2,0.0149425
1,16176.2,0.0149241
1,16196.2,0.0149058
1,16216.2,0.0148875
1,16236.2,0.0148693
1,16256.3,0.0148511
1,16276.3,0.0148329
1,16296.3,0.0148148
1,16316.3,0.0147968
1,16336.3,0.0147788
1,16356.4,0.0147608
1,16376.4,0.0147429
1,16396.4,0.014725
1,16416.4,0.0147071
1,16436.4,0.0146893
1,16456.5,0.0146716
1,16476.5,0.0146539
1,16496.5,0.0146362
1,16516.5,0.0146186
1,16536.5,0.014601
1,16556.6,0.0145835
1,16576.6,0.014566
1,16596.6,0.0145485
1,16616.6,0.0145311
1,16636.6,0.0145137
1,16656.7,0.0144964
1,16676.7,0.0144791
1,16696.7,0.0144618
1,16716.7,0.0144446
1,16736.7,0.0144275
1,16756.8,0.0144103
1,16776.8,0.0143932
1,16796.8,0.0143762
1,16816.8,0.0143592
1,16836.8,0.0143422
1,16856.9,0.0143253
1,16876.9,0.0143084
1,16896.9,0.0142916
1,16916.9,0.0142748
1,16936.9,0.014258
1,16957,0.0142413
1,16977,0.0142246
1,16997,0.0142079
1,17017,0.0141913
1,17037,0.0141748
1,17057.1,0.0141582
1,17077.1,0.0141417
1,17097.1,0.0141253
1,17117.1,0.0141088
1,17137.1,0.0140925
1,17157.2,0.0140761
1,17177.2,0.0140598
1,17197.2,0.0140436
1,17217.2,0.0140273
1,17237.2,0.0140111
1,17257.3,0.013995
1,17277.3,0.0139789
1,17297.3,0.0139628
1,17317.3,0.0139467
1,17337.3,0.0139307
1,17357.4,0.0139148
1,17377.4,0.0138988
1,17397.4,0.0138829
