Function,Concentration,Predicted
1,16556.6,0.989691
1,16576.6,0.989703
1,16596.6,0.989715
1,16616.6,0.989727
1,16636.6,0.989739
1,16656.7,0.989752
1,16676.7,0.989764
1,16696.7,0.989776
1,16716.7,0.989788
1,16736.7,0.9898
1,16756.8,0.989812
1,16776.8,0.989824
1,16796.8,0.989836
1,16816.8,0.989848
1,16836.8,0.989859
1,16856.9,0.989871
1,16876.9,0.989883
1,16896.9,0.989895
1,16916.9,0.989907
1,16936.9,0.989918
1,16957,0.98993
1,16977,0.989942
1,16997,0.989953
1,17017,0.989965
1,17037,0.989977
1,17057.1,0.989988
1,17077.1,0.99
1,17097.1,0.990011
1,17117.1,0.990023
1,17137.1,0.990034
1,17157.2,0.990046
1,17177.2,0.990057
1,17197.2,0.990069
1,17217.2,0.99008
1,17237.2,0.990091
1,17257.3,0.990103
1,17277.3,0.990114
1,17297.3,0.990125
1,17317.3,0.990136
1,17337.3,0.990148
1,17357.4,0.990159
1,17377.4,0.99017
1,17397.4,0.990181
1,17417.4,0.990192
1,17437.4,0.990203
1,17457.5,0.990214
1,17477.5,0.990225
1,17497.5,0.990236
1,17517.5,0.990247
1,17537.5,0.990258
1,17557.6,0.990269
1,17577.6,0.99028
1,17597.6,0.990291
1,17617.6,0.990302
1,17637.6,0.990313
1,17657.7,0.990323
1,17677.7,0.990334
1,17697.7,0.990345
1,17717.7,0.990356
1,17737.7,0.990366
1,17757.8,0.990377
1,17777.8,0.990388
1,17797.8,0.990398
1,17817.8,0.990409
1,17837.8,0.99042
1,17857.9,0.99043
1,17877.9,0.990441
1,17897.9,0.990451
1,17917.9,0.990462
1,17937.9,0.990472
1,17958,0.990483
1,17978,0.990493
1,17998,0.990504
1,18018,0.990514
1,18038,0.990524
1,18058.1,0.990535
1,18078.1,0.990545
1,18098.1,0.990555
1,18118.1,0.990566
1,18138.1,0.990576
1,18158.2,0.990586
1,18178.2,0.990596
1,18198.2,0.990606
1,18218.2,0.990617
1,18238.2,0.990627
1,18258.3,0.990637
1,18278.3,0.990647
1,18298.3,0.990657
1,18318.3,0.990667
1,18338.3,0.990677
1,18358.4,0.990687
1,18378.4,0.990697
1,18398.4,0.990707
1,18418.4,0.990717
1,18438.4,0.990727
1,18458.5,0.990737
1,18478.5,0.990747
1,18498.5,0.990757
1,18518.5,0.990767
1,18538.5,0.990776
1,18558.6,0.990786
1,18578.6,0.990796
1,18598.6,0.990806
1,18618.6,0.990815
1,18638.6,0.990825
1,18658.7,0.990835
1,18678.7,0.990845
