Concentration,1,2,Vmax1,Km1,Vmax2,Km2,QH,Clint,ClH,Delta_Clint,Delta_ClH
2162.16,0.107083,0.0994748,,,,,,0.107083503,0.099474849,-5.02871E-07,-4.90937E-08
2182.18,0.106147,0.0986662,,,,,,0.106147093,0.098666279,-9.27863E-08,-7.94176E-08
2202.2,0.105227,0.0978707,,,,,,0.105226918,0.097870749,8.18055E-08,-4.87167E-08
2222.22,0.104322,0.0970879,,,,,,0.10432256,0.097087944,-5.60481E-07,-4.41084E-08
2242.24,0.103434,0.0963175,,,,,,0.103433615,0.096317563,3.84701E-07,-6.26412E-08
2262.26,0.10256,0.0955592,,,,,,0.102559692,0.095559311,3.08031E-07,-1.10904E-07
2282.28,0.1017,0.0948128,,,,,,0.101700413,0.094812905,-4.12905E-07,-1.04654E-07
2302.3,0.100855,0.094078,,,,,,0.100855413,0.094078068,-4.13071E-07,-6.84599E-08
2322.32,0.100024,0.0933545,,,,,,0.100024339,0.093354535,-3.39462E-07,-3.53648E-08
2342.34,0.0992068,0.092642,,,,,,0.099206851,0.092642047,-5.06143E-08,-4.65616E-08
2362.36,0.0984025,0.0919403,,,,,,0.098402616,0.091940351,-1.16139E-07,-5.10849E-08
2382.38,0.0976112,0.0912491,,,,,,0.097611316,0.091249206,-1.16272E-07,-1.05516E-07
2402.4,0.0968325,0.0905683,,,,,,0.096832641,0.090568374,-1.41457E-07,-7.3701E-08
2422.42,0.0960662,0.0898975,,,,,,0.096066292,0.089897626,-9.19326E-08,-1.26483E-07
2442.44,0.0953119,0.0892367,,,,,,0.095311977,0.089236741,-7.73571E-08,-4.14429E-08
2462.46,0.0945693,0.0885854,,,,,,0.094569416,0.088585503,-1.16435E-07,-1.02656E-07
2482.48,0.0938382,0.0879436,,,,,,0.093838337,0.0879437,-1.3657E-07,-1.00454E-07
2502.5,0.0931184,0.0873111,,,,,,0.093118474,0.087311131,-7.3531E-08,-3.12026E-08
2522.52,0.0924095,0.0866875,,,,,,0.092409571,0.086687597,-7.11333E-08,-9.70839E-08
2542.54,0.0917113,0.0860728,,,,,,0.091711381,0.086072906,-8.09348E-08,-1.05892E-07
2562.56,0.0910236,0.0854668,,,,,,0.091023662,0.085466871,-6.19458E-08,-7.08328E-08
2582.58,0.0903461,0.0848692,,,,,,0.09034618,0.08486931,-8.03515E-08,-1.10339E-07
2602.6,0.0896786,0.08428,,,,,,0.089678709,0.084280048,-1.09247E-07,-4.7883E-08
2622.62,0.0890209,0.0836988,,,,,,0.089021028,0.083698912,-1.28384E-07,-1.11809E-07
2642.64,0.0883728,0.0831257,,,,,,0.088372924,0.083125735,-1.23927E-07,-3.5163E-08
2662.66,0.0877341,0.0825603,,,,,,0.087734188,0.082560356,-8.82261E-08,-5.55317E-08
2682.68,0.0871045,0.0820025,,,,,,0.08710462,0.082002615,-1.19589E-07,-1.14892E-07
2702.7,0.0864839,0.0814523,,,,,,0.086484022,0.081452359,-1.22072E-07,-5.94623E-08
